gene,TCGA-DEMO-01-01A,TCGA-DEMO-02-01A,TCGA-DEMO-03-01A,TCGA-DEMO-04-01A,TCGA-DEMO-05-01A,TCGA-DEMO-06-01A,TCGA-DEMO-07-01A,TCGA-DEMO-08-01A,TCGA-DEMO-09-01A,TCGA-DEMO-10-01A,TCGA-DEMO-11-01A,TCGA-DEMO-12-01A,TCGA-DEMO-13-01A,TCGA-DEMO-14-01A,TCGA-DEMO-15-01A,TCGA-DEMO-16-01A,TCGA-DEMO-17-01A,TCGA-DEMO-18-01A,TCGA-DEMO-19-01A,TCGA-DEMO-20-01A,TCGA-DEMO-21-01A,TCGA-DEMO-22-01A,TCGA-DEMO-23-01A,TCGA-DEMO-24-01A
AKT1,5.192,3.326,9.515,4.125,2.496,6.290,2.224,12.715,3.689,9.110,11.052,14.436,17.941,3.390,10.900,10.815,5.588,3.022,2.550,2.538,5.584,3.785,6.618,1.284
AKT2,2.564,5.397,3.458,7.888,5.840,9.860,3.250,4.883,10.508,3.925,1.524,7.540,2.167,6.712,2.297,2.209,1.598,7.578,4.485,2.523,5.116,8.058,8.254,3.632
AKT3,1.955,6.135,4.235,4.054,5.206,2.866,3.927,2.710,2.990,3.139,1.354,1.984,3.193,12.744,3.933,6.626,2.161,3.867,9.225,3.851,7.356,2.514,4.009,2.938
ALK,4.733,6.893,4.398,4.022,1.463,4.136,5.495,2.704,5.325,1.498,4.572,2.636,6.057,3.288,7.637,5.787,3.670,6.418,1.533,2.872,5.769,2.091,1.989,2.564
BRAF,3.821,14.279,7.141,1.812,2.477,5.937,5.407,3.956,4.020,5.426,7.798,4.157,11.189,10.226,2.959,7.537,3.362,3.476,6.933,6.244,0.944,4.226,6.643,1.218
CD274,8.729,5.712,8.569,2.197,6.314,5.606,3.390,1.883,5.161,9.546,3.856,5.768,1.271,6.192,3.216,3.886,2.312,13.176,2.848,3.774,6.035,4.155,3.390,6.469
CXCL10,1.855,5.506,16.727,5.637,2.717,3.533,1.591,4.448,13.782,2.216,4.570,3.576,32.027,12.682,7.069,9.512,4.327,2.186,7.937,5.365,2.438,3.173,4.702,1.815
CXCL9,5.624,3.640,4.018,1.889,5.955,2.413,3.222,5.051,3.100,4.187,2.649,3.983,4.313,5.100,3.489,2.233,2.126,2.884,6.911,20.975,3.395,9.083,8.462,1.399
DUSP4,4.875,10.813,1.876,5.979,2.460,9.793,5.695,7.586,11.049,6.998,3.986,4.524,10.122,6.540,1.305,4.836,3.502,0.898,7.535,4.083,3.942,6.969,1.035,1.135
DUSP6,5.966,4.269,7.800,4.282,2.617,5.957,5.256,4.737,6.542,5.968,3.350,3.129,5.234,2.964,4.225,12.579,3.496,2.982,4.704,5.655,9.440,11.031,4.236,10.690
EGFR,7.793,1.373,4.918,8.948,6.596,4.675,2.940,6.166,3.061,5.452,5.136,1.745,6.571,9.877,3.784,23.552,2.727,8.124,3.496,8.557,11.158,4.451,1.947,3.511
EIF4EBP1,10.115,5.713,4.108,7.563,5.700,4.440,3.544,15.347,2.530,9.183,4.188,3.658,4.829,2.708,9.067,6.271,9.029,3.629,5.193,2.049,4.756,4.285,8.860,7.057
EML4,1.093,4.882,10.838,1.497,1.183,4.685,3.259,4.426,4.762,5.038,4.188,1.554,4.935,10.533,7.554,11.472,11.949,1.720,9.138,8.919,4.708,6.607,5.411,1.617
